,DEPTH_M,DIAMETER_MM,LENGTH_M,JOB_COST,JOB_TYPE_Replace,MATERIAL_CI,MATERIAL_ST
0,3.34,50,42.22,2263.5081010000004,0,0,0
1,3.25,90,29.47,3760.81516,0,1,0
2,1.78,315,17.78,6000.263911,0,0,1
3,4.46,63,24.65,3179.626731,0,1,0
4,2.89,90,21.71,3003.181829,0,0,0
5,2.75,125,13.15,2716.7658,0,0,0
6,2.99,63,10.28,1827.985734,0,1,0
7,2.64,250,34.64,9510.574504,0,0,0
8,1.61,250,17.99,3779.711847,0,0,0
9,1.74,63,31.68,1526.968233,0,0,0
10,2.56,90,28.82,2996.0015949999997,0,0,1
11,3.02,50,23.91,1849.979023,0,1,0
12,2.87,125,15.13,3865.817271,0,0,0
13,1.47,125,17.32,1721.182334,0,0,0
14,2.28,125,14.83,2803.471216,0,1,0
15,2.85,250,29.25,10926.007,0,0,1
16,2.26,90,36.66,3602.4712259999997,0,0,0
17,2.96,90,21.34,2992.627377,0,0,0
18,1.69,50,17.13,914.5131469,0,1,0
19,3.33,63,26.85,3164.26224,0,0,1
20,2.51,200,36.47,8161.196939,0,0,1
21,2.04,90,17.61,2080.916693,0,0,0
22,2.33,63,16.33,1709.497348,0,1,0
23,4.39,250,12.4,10058.874240000001,0,1,0
24,1.37,90,15.4,1097.338278,0,0,0
25,2.39,63,16.16,1511.3322039999998,0,0,0
26,4.14,63,20.0,3348.538353,0,0,0
27,3.42,90,33.97,3470.9996659999997,0,1,0
28,2.7,90,23.01,3036.6721420000003,0,0,0
29,2.42,90,15.08,1636.005987,0,0,0
30,3.31,125,22.4,3946.311144,0,0,0
31,3.47,125,29.01,5347.000857,0,0,0
32,2.15,90,21.51,2532.795678,0,0,0
33,1.96,315,39.97,10438.20873,0,0,0
34,3.29,250,24.22,9759.291352,0,1,0
35,1.41,125,39.0,2624.6790920000003,0,1,0
36,3.66,125,11.12,3854.5056289999998,0,1,0
37,3.22,200,34.92,11092.57447,0,0,0
38,2.69,250,38.76,9898.173324,0,1,0
39,2.41,50,40.71,1975.8517789999999,0,0,1
40,1.28,250,10.7,2747.428036,0,0,0
41,2.29,63,19.56,1331.019841,0,1,0
42,2.62,90,36.23,3311.38499,0,0,0
